country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Pakistan,2017,Gold,Import,1278,1.534,4.148
Bosnia Herzegovina,2017,Gold,Import,1588,3.062,0.81
Bulgaria,2017,Gold,Import,26621,15.12,1.188
Italy,2017,Gold,Import,19410,27.75,1.326
Italy,2017,Gold,Import,212456,0.006,1.326
Switzerland,2017,Gold,Import,405058,0.011,0.534
TÃ¼rkiye,2017,Gold,Import,968556,0.032,
Canada,2017,Gold,Import,37,0.1,1.603
Italy,2017,Gold,Import,258478,0.006,1.326
Qatar,2017,Gold,Import,45,0.125,0.395
United Arab Emirates,2017,Gold,Import,140,0.25,1.967
TÃ¼rkiye,2017,Gold,Import,497920,0.011,
Slovakia,2017,Gold,Import,45023,0.001,
France,2017,Gold,Import,81442,0.002,1.163
Spain,2017,Gold,Import,6485852,0.157,1.956
United Arab Emirates,2017,Gold,Import,583950,0.015,1.967
USA,2017,Gold,Import,53021,0.001,
Switzerland,2017,Gold,Import,1074,0.147,0.534
Switzerland,2017,Gold,Import,143056405,7.177,0.534
TÃ¼rkiye,2017,Gold,Import,11931131,0.276,
United Kingdom,2017,Gold,Import,2422,,2.683
Bahrain,2017,Gold,Import,1679,0.202,1.387
Canada,2017,Gold,Import,409131,240.87,1.603
Canada,2017,Gold,Import,1029876177,64.602,1.603
Chile,2017,Gold,Import,372,0.236,2.183
France,2017,Gold,Import,78428,38.04,1.163
Germany,2017,Gold,Import,6167,1.95,1.711
Germany,2017,Gold,Import,2018581,0.053,1.711
Panama,2017,Gold,Import,1336434,0.035,0.876
Paraguay,2017,Gold,Import,32238,21.564,3.603
Slovenia,2017,Gold,Import,97,0.05,1.432
Switzerland,2017,Gold,Import,1116629245,316.904,0.534
United Kingdom,2017,Gold,Import,11717,9.913,2.683
USA,2017,Gold,Import,246481,157.04,
USA,2017,Gold,Import,54761520,1.171,
Austria,2017,Gold,Import,83866,0.002,2.23
Austria,2017,Gold,Import,103244,0.003,2.23
Bahrain,2017,Gold,Import,754,0.2,1.387
Belgium,2017,Gold,Import,9770,8.94,2.224
Belgium,2017,Gold,Import,136967,0.003,2.224
Belgium,2017,Gold,Import,6901,,2.224
Belgium,2017,Gold,Import,1218257,0.021,2.224
Brazil,2017,Gold,Import,42737,,3.446
Solomon Isds,2017,Gold,Import,5355,2.756,
Myanmar,2017,Gold,Import,61,0.003,4.622
Canada,2017,Gold,Import,1165,,1.603
Canada,2017,Gold,Import,3887603,0.093,1.603
Canada,2017,Gold,Import,103941,0.002,1.603
Sri Lanka,2017,Gold,Import,30,,6.581
China,2017,Gold,Import,8326537502,204.788,1.558
China,2017,Gold,Import,576576876,5.156,1.558
Czechia,2017,Gold,Import,169275,0.004,2.451
Czechia,2017,Gold,Import,27824,0.001,2.451
Fiji,2017,Gold,Import,24884,13.114,3.351
France,2017,Gold,Import,43754,0.206,1.163
France,2017,Gold,Import,265,,1.163
Germany,2017,Gold,Import,4967,5.4,1.711
Germany,2017,Gold,Import,4974,,1.711
Germany,2017,Gold,Import,7566228,0.412,1.711
Germany,2017,Gold,Import,15800523,0.303,1.711
Kiribati,2017,Gold,Import,12493,4.492,0.356
Greece,2017,Gold,Import,1413,0.001,1.138
"China, Hong Kong SAR",2017,Gold,Import,1518198,486.15,1.481
"China, Hong Kong SAR",2017,Gold,Import,6626283023,115.254,1.481
"China, Hong Kong SAR",2017,Gold,Import,6686244943,165.083,1.481
Hungary,2017,Gold,Import,2502,,2.408
Indonesia,2017,Gold,Import,122859,78.8,3.809
Indonesia,2017,Gold,Import,77574479,1.983,3.809
Indonesia,2017,Gold,Import,683721,0.008,3.809
Ireland,2017,Gold,Import,166776,0.009,0.251
Italy,2017,Gold,Import,6570714,0.163,1.326
Italy,2017,Gold,Import,127651,0.005,1.326
CÃ´te d'Ivoire,2017,Gold,Import,1902,0.001,
Japan,2017,Gold,Import,131089,3.406,0.468
Japan,2017,Gold,Import,3261425,0.081,0.468
Japan,2017,Gold,Import,44328,0.003,0.468
Rep. of Korea,2017,Gold,Import,30,,
Rep. of Korea,2017,Gold,Import,137056341,3.39,
Rep. of Korea,2017,Gold,Import,29502465,0.264,
Luxembourg,2017,Gold,Import,10821,,2.111
"China, Macao SAR",2017,Gold,Import,1706,0.002,1.227
Malaysia,2017,Gold,Import,11825,3.858,3.799
Malaysia,2017,Gold,Import,766313,0.021,3.799
Malaysia,2017,Gold,Import,1531969,0.042,3.799
Maldives,2017,Gold,Import,2589,0.328,2.272
Mauritius,2017,Gold,Import,23269,11.088,3.675
"Other Asia, nes",2017,Gold,Import,4313,,
"Other Asia, nes",2017,Gold,Import,11085613,0.275,
"Other Asia, nes",2017,Gold,Import,24659,0.001,
Oman,2017,Gold,Import,2415,0.507,1.6
